image,class
v_ModifiedSteeple_0.avi_frame0.jpg,ModifiedSteeple
v_ModifiedSteeple_0.avi_frame1.jpg,ModifiedSteeple
v_ModifiedSteeple_0.avi_frame2.jpg,ModifiedSteeple
v_ModifiedSteeple_0.avi_frame3.jpg,ModifiedSteeple
v_ModifiedSteeple_0.avi_frame4.jpg,ModifiedSteeple
v_ModifiedSteeple_1.avi_frame0.jpg,ModifiedSteeple
v_ModifiedSteeple_1.avi_frame1.jpg,ModifiedSteeple
v_ModifiedSteeple_1.avi_frame2.jpg,ModifiedSteeple
v_ModifiedSteeple_1.avi_frame3.jpg,ModifiedSteeple
v_ModifiedSteeple_10.avi_frame0.jpg,ModifiedSteeple
v_ModifiedSteeple_10.avi_frame1.jpg,ModifiedSteeple
v_ModifiedSteeple_10.avi_frame10.jpg,ModifiedSteeple
v_ModifiedSteeple_10.avi_frame11.jpg,ModifiedSteeple
v_ModifiedSteeple_10.avi_frame12.jpg,ModifiedSteeple
v_ModifiedSteeple_10.avi_frame2.jpg,ModifiedSteeple
v_ModifiedSteeple_10.avi_frame3.jpg,ModifiedSteeple
v_ModifiedSteeple_10.avi_frame4.jpg,ModifiedSteeple
v_ModifiedSteeple_10.avi_frame5.jpg,ModifiedSteeple
v_ModifiedSteeple_10.avi_frame6.jpg,ModifiedSteeple
v_ModifiedSteeple_10.avi_frame7.jpg,ModifiedSteeple
v_ModifiedSteeple_10.avi_frame8.jpg,ModifiedSteeple
v_ModifiedSteeple_10.avi_frame9.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame0.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame1.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame10.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame11.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame12.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame13.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame14.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame15.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame16.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame2.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame3.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame4.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame5.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame6.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame7.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame8.jpg,ModifiedSteeple
v_ModifiedSteeple_100.avi_frame9.jpg,ModifiedSteeple
v_ModifiedSteeple_101.avi_frame0.jpg,ModifiedSteeple
v_ModifiedSteeple_101.avi_frame1.jpg,ModifiedSteeple
v_ModifiedSteeple_101.avi_frame10.jpg,ModifiedSteeple
v_ModifiedSteeple_101.avi_frame11.jpg,ModifiedSteeple
v_ModifiedSteeple_101.avi_frame12.jpg,ModifiedSteeple
v_ModifiedSteeple_101.avi_frame13.jpg,ModifiedSteeple
v_ModifiedSteeple_101.avi_frame14.jpg,ModifiedSteeple
v_ModifiedSteeple_101.avi_frame15.jpg,ModifiedSteeple
v_ModifiedSteeple_101.avi_frame2.jpg,ModifiedSteeple
v_ModifiedSteeple_101.avi_frame3.jpg,ModifiedSteeple
v_ModifiedSteeple_101.avi_frame4.jpg,ModifiedSteeple
v_ModifiedSteeple_101.avi_frame5.jpg,ModifiedSteeple
v_ModifiedSteeple_101.avi_frame6.jpg,ModifiedSteeple
v_ModifiedSteeple_101.avi_frame7.jpg,ModifiedSteeple
v_ModifiedSteeple_101.avi_frame8.jpg,ModifiedSteeple
v_ModifiedSteeple_101.avi_frame9.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame0.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame1.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame10.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame11.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame12.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame13.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame14.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame15.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame16.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame2.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame3.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame4.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame5.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame6.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame7.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame8.jpg,ModifiedSteeple
v_ModifiedSteeple_102.avi_frame9.jpg,ModifiedSteeple
v_ModifiedSteeple_11.avi_frame0.jpg,ModifiedSteeple
v_ModifiedSteeple_11.avi_frame1.jpg,ModifiedSteeple
v_ModifiedSteeple_11.avi_frame10.jpg,ModifiedSteeple
v_ModifiedSteeple_11.avi_frame11.jpg,ModifiedSteeple
v_ModifiedSteeple_11.avi_frame12.jpg,ModifiedSteeple
v_ModifiedSteeple_11.avi_frame13.jpg,ModifiedSteeple
v_ModifiedSteeple_11.avi_frame2.jpg,ModifiedSteeple
v_ModifiedSteeple_11.avi_frame3.jpg,ModifiedSteeple
v_ModifiedSteeple_11.avi_frame4.jpg,ModifiedSteeple
v_ModifiedSteeple_11.avi_frame5.jpg,ModifiedSteeple
v_ModifiedSteeple_11.avi_frame6.jpg,ModifiedSteeple
v_ModifiedSteeple_11.avi_frame7.jpg,ModifiedSteeple
v_ModifiedSteeple_11.avi_frame8.jpg,ModifiedSteeple
v_ModifiedSteeple_11.avi_frame9.jpg,ModifiedSteeple
